Year Make Model Fuel,BEV or PHEV,Vehicle Class,Year,Make,Model,Transmission,Recharge Time(h),Seating Capacity,Total range(km),Battery over 15 kWh ?,"BEV, PHEV > 15 kWh or PHEV < 15 kWh",Cylinders,Engine size (L),Fuel Type 1,Fuel Type 2,Incentive available,Purchase,12 m Lease,24 m Lease,36 m Lease,CO2  Rating,Cost per 100km ($),Max Incentive ($),Motor(KW),Price($),Range electricity (km),Range fuel (km),Smog Rating,CO2 Emissions(g/km),Total capacity Battery life(KWH)
2020_BMW_745Le_PHEV,PHEV,Subcompact,2020,BMW,745Le,Automatic 1 Gear,3,4,461,No,PHEVs<15 kWh,6,3,Electricity,Premium Gasoline,No,0,0,0,0,8,13.6827138,0,83,122800,26,435,3,152,12
2020_BMW_i8_PHEV,PHEV,Subcompact,2020,BMW,i8,Automatic with select shift 6 gears,3,4,517,No,PHEVs<15 kWh,3,1.5,Electricity,Premium Gasoline,No,0,0,0,0,9,10.6621806,0,105,148495,29,488,3,118,12
2020_BMW_X 3_PHEV,PHEV,SUV: Small,2020,BMW,X 3,Automatic with select shift 8 gears,3,5,541,No,PHEVs<15 kWh,4,2,Electricity,Premium Gasoline,No,0,0,0,0,9,12.136305,0,80,52990,29,512,7,127,24
2020_Kia_Niro Plug-in Hybrid_PHEV,PHEV,Station wagon: Small,2020,Kia,Niro Plug-in Hybrid,Automatic Manual with 6 gears,2.25,5,895,No,PHEVs<15 kWh,4,1.6,Electricity,Regular Gasoline,No,0,0,0,0,9,4.5468306,0,45,29490,42,853,7,56,8.9
2020_Kia_Optima Plug-in Hybrid_PHEV,PHEV,Mid-size,2020,Kia,Optima Plug-in Hybrid,Automatic Manual with 6 gears,2.7,5,1007,No,PHEVs<15 kWh,4,2,Electricity,Regular Gasoline,No,0,0,0,0,8,4.8554235,0,50,43995,45,962,7,60,68
2020_Lincoln_Aviator Grand Touring_PHEV,PHEV,SUV: Standard,2020,Lincoln,Aviator Grand Touring,Automatic with select shift 10 gears,3.5,5,747,No,PHEVs<15 kWh,6,3,Electricity,Regular Gasoline,No,0,0,0,0,9,10.030275,0,62,81900,34,713,7,130,13.6
2020_Mercedes-Benz_GLC 350e 4MATIC_PHEV,PHEV,SUV: Small,2020,Mercedes-Benz,GLC 350e 4MATIC,Automatic  9 gears,1.3,5,573,No,PHEVs<15 kWh,4,2,Electricity,Premium Gasoline,No,0,0,0,0,8,10.680482,0,90,61200,35,538,5,109,13.5
2020_Mercedes-Benz_S 560e_PHEV,PHEV,Full-size,2020,Mercedes-Benz,S 560e,Automatic  9 gears,1.3,5,816,No,PHEVs<15 kWh,6,3,Electricity,Premium Gasoline,No,0,0,0,0,9,12.2625753,0,90,110745,31,785,3,127,13.5
2020_MINI_Cooper SE Countryman _PHEV,PHEV,Mid-size,2020,MINI,Cooper SE Countryman,Automatic with select shift 6 gears,3,5,480,Yes,PHEVs>15KWh,3,1.5,Electricity,Premium Gasoline,No,0,0,0,0,8,9.8132686,0,65,39990,29,451,3,109,10
2020_Porsche_Panamera_PHEV,PHEV,Full-size,2020,Porsche,Panamera,Automatic  Manual with 8 gears8,3,5,791,Yes,PHEVs>15KWh,6,2.9,Electricity,Premium Gasoline,No,0,0,0,0,8,13.7986461,0,70,186100,23,768,5,158,17.9
